time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759433372.012,50,4194,60.2343571209802,305.8708883708884,58.78655910140167,inf,inf
1759433383.392,100,4294,19.985943778514656,201.8128830316607,239.69179547499098,33593838.6946387,33589545
1759445024.253,50000,104094,0.9118774721901716,635.7975295494277,628.2833009273843,46597892.25957926,46493799
1759456262.240,100000,204090,0.6392261054295192,630.126402711731,624.789727542035,45828168.88295769,45624079
1759467511.314,150000,304089,0.5200103734203372,628.7681153821686,627.2203312955818,45506422.105812974,45202334
