time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759824356.529,50000,108191,0.9695362669836756,628.8262095045966,632.2533259246311,48178490.63140819,48070300
1759831697.566,100000,208189,0.6810251851975587,630.1732203495624,636.7845806462401,48192378.09493299,47984190
1759839012.896,150000,308189,0.5552991899222137,630.5541953259401,635.4671477002753,48184340.21580928,47876152
1759846324.686,200000,408189,0.48169884974817384,630.0626707726503,633.7441513616412,48371967.54023241,47963779
1759853627.827,250000,508187,0.43092115094941,633.7083982958239,633.8699746576392,48285274.05739644,47777088
1759860949.423,300000,608185,0.3928272221112953,633.8832933031813,633.9385889063904,48107625.16122377,47499441
1759868263.641,350000,708185,0.3630891912991728,632.979300477427,633.3367940891513,48000097.05930588,47291913
1759875583.743,400000,808183,0.33951968991356946,634.0070521752616,632.9659160778037,47988614.72581754,47180432
1759882903.669,450000,908182,0.32034146824533605,634.0983242932932,632.6347019615993,48008201.73317444,47100020
1759890226.038,500000,1008182,0.3041697509062148,633.4957965407343,634.1600942342707,48063334.94019973,47055153
1759897542.473,550000,1108181,0.2901854043381372,634.1661262032374,634.0621356231753,48100676.67783123,46992496
1759904870.081,600000,1208179,0.2780899124097633,633.6609921799812,634.2514990261197,48141250.68063135,46933072
1759912214.074,650000,1308178,0.2668018037264381,633.2050895973941,634.2701420791764,48055165.31420199,46746988
1759919561.985,700000,1408176,0.2568984415631101,633.1673694087568,633.4908149622981,47996769.86870445,46588594
1759926890.327,750000,1508175,0.2483433451474485,633.3243287519697,634.287332082424,48057893.032376625,46549719
1759934224.998,800000,1608174,0.24040975553246943,633.5853733551795,634.8815886958309,48051220.083480716,46443047
1759941559.353,850000,1708171,0.23335255427253326,633.4074265301333,635.0703509159279,48062986.23700464,46354816
