time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759834835.808,50000,108192,0.8705524517001547,522.1630989312788,513.4603968268966,38445767.826094106,38337576
1759851720.634,100000,208192,0.6122404444045827,520.8808073509188,515.3754704925846,38589582.57467343,38381391
1759868587.462,150000,308190,0.5011158386604465,520.2070906674128,518.0527255955919,38776615.60833251,38468426
1759885419.328,200000,408189,0.4330822901278133,518.7582239876203,518.3661385165034,38722624.23305736,38314436
1759902253.879,250000,508189,0.38706030725960683,520.6948918752611,519.5571507685615,38755022.84958915,38246834
1759919109.433,300000,608187,0.35306910050094803,521.605906240505,520.5264240063316,38717333.85780077,38109147
1759935932.264,350000,708185,0.3265157168396031,521.4746941761864,520.1948190457879,38669511.50935059,37961327
