time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759830839.649,50000,108186,0.8110086824756526,442.70560765839764,456.7999256298592,34461854.27417847,34353669
1759844142.760,100000,208186,0.572374506419721,445.30731319066524,455.5934841904531,34076314.45692442,33868129
1759857429.606,150000,308185,0.4651953004332537,445.9905007488609,452.2822015458806,33618750.23230692,33310566
1759870751.157,200000,408182,0.40200615662050926,445.9192144681916,452.036492035238,33529868.081309397,33121687
1759884059.429,250000,508181,0.3587641941631293,446.750936148267,448.66950279882315,33420248.272555612,32912068
1759897384.519,300000,608179,0.32705301369594875,446.0824852796221,447.96035950367985,33367234.687532246,32759056
1759910713.018,350000,708178,0.30237398214475963,445.9475491040879,447.2935857075952,33200676.239604756,32492499
1759924030.563,400000,808175,0.28221043806344964,445.7970940926253,447.69298765175097,33066312.951989245,32258138
1759937317.942,450000,908174,0.26597373795454937,445.7832781049756,446.8734784361808,33024332.715024102,32116159
1759950589.226,500000,1008174,0.2520766759907049,444.8034848450777,445.4181474581804,33000344.62475252,31992171
1759963898.121,550000,1108174,0.24029252762060535,444.73889624019677,446.3191949779409,32988149.185646478,31879976
1759977189.648,600000,1208173,0.22996441399047154,444.96867377296337,445.4847407179104,32960260.110978663,31752088
1759990503.196,650000,1308173,0.22067320999112136,444.7136821457405,444.14871619152325,32895746.822823342,31587574
1760003817.616,700000,1408173,0.2129599177184145,445.24733513387315,445.83716482322507,32979883.465631615,31571711
1760017103.704,750000,1508172,0.20549243017010352,445.0370545851599,444.7814332409678,32930458.18266268,31422287
1760030419.735,800000,1608171,0.19951185011641848,445.4230565906382,447.0331998823361,33102927.496467594,31494757
1760043717.547,850000,1708169,0.1935729383378464,445.33120573135943,446.7134031096455,33095779.179014623,31387611
1760057010.900,900000,1808168,0.1877884489189158,445.28369161809246,445.5054197498948,32989526.421406064,31181359
1760070325.726,950000,1908168,0.18266215769627503,445.3210225704461,445.1251557441174,32932334.609187003,31024167
