time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759433005.256,1150,6394,6.253855218901598,557.7776646110609,602.816858716406,45173047.63000083,45166654
1759433007.269,1200,6494,6.128484262943582,560.0554988440738,605.4535086153231,45436599.81675661,45430106
1759433009.315,1250,6594,6.039064176687397,565.4105922756113,614.6831124134657,45959616.179731265,45953023
1759433011.373,1300,6694,5.909010174716005,566.6082160105694,615.4582883266664,45957227.113458335,45950534
1759433013.412,1350,6794,5.755287711030283,573.492519269005,618.0016966931571,46136438.75817898,46129645
1759433015.470,1400,6894,5.633199248632602,569.7285443890693,623.4216626410298,45898440.39286036,45891547
1759433017.493,1450,6994,5.535882683580673,572.1198059775143,620.0434264744616,45981915.31370801,45974922
1759433019.533,1500,7094,5.4425255673371895,573.2371214995969,618.6354672204245,45804734.17371969,45797641
1759433021.558,1550,7194,5.383135241800003,572.8288097603679,617.6405424696904,45771921.24239008,45764728
1759433023.608,1600,7294,5.29991959415038,572.2008245427794,615.9626694706953,45966298.88594288,45959005
1759433025.684,1650,7394,5.240691858995096,571.8789643989332,618.7731825144814,46045031.806855164,46037638
1759433027.722,1700,7494,5.1832808224120175,569.9577009981681,618.7729284837335,45606026.92971318,45598533
1759433029.795,1750,7594,5.108502640935458,571.4219529165271,617.4652464580063,45677731.77896955,45670138
1759433031.865,1800,7694,5.010123630052146,570.5063273660808,617.3849130723308,45625646.95080598,45617953
1759433033.917,1850,7794,4.931276864821212,563.3763863879644,617.097527906569,45362853.47678767,45355060
1759433035.973,1900,7894,4.8943661883854075,569.4210482182518,616.9143827038013,45321704.89052123,45313811
1759433038.024,1950,7994,4.814412445582249,573.1655402725576,615.9390304622755,45373094.53878081,45365101
1759433040.065,2000,8094,4.725247096138918,578.4504839882536,613.1399153091702,45169039.99647753,45160946
1759433042.111,2050,8194,4.6551833347267175,577.1876735167598,613.1153608582797,45224009.89341793,45215816
1759433044.220,2100,8294,4.571666596585498,577.3925839589456,609.0671152576138,45083287.55136884,45074994
1759433046.257,2150,8394,4.5325106150999,580.9544017164117,606.5839900193087,45162681.81398119,45154288
1759433048.273,2200,8494,4.4882369077602995,581.2401696140341,605.1966383797178,45042314.42979472,45033821
1759433050.312,2250,8594,4.455805717377791,580.6567944607625,606.7002472473047,45067737.67918256,45059144
1759433052.344,2300,8694,4.3944944222944455,584.2546495909436,605.8525787078764,44865015.0756076,44856322
1759433054.382,2350,8794,4.348316511385747,584.6538622190596,604.9645937827906,45041904.23404064,45033111
1759433056.410,2400,8894,4.306988128450811,585.0300174565773,604.0559814085266,45060464.95889743,45051571
1759433058.422,2450,8994,4.2758875661159506,584.3533866189691,606.7947331351083,45127085.13703966,45118092
1759433060.458,2500,9094,4.227909001772223,587.0821782215387,606.8164741361272,45228838.18593809,45219745
1759433062.501,2550,9194,4.179270492170675,587.8310146353492,607.3581450688076,45198249.54676942,45189056
1759433064.594,2600,9294,4.144410265208949,589.6365453416277,601.5060868053365,45127870.70353896,45118577
1759433066.646,2650,9394,4.0977084774532315,589.5922863164549,604.90206676006,45280189.62879448,45270796
1759433068.675,2700,9494,4.037523832622064,587.6766098545538,602.9004817368054,45020628.61484112,45011135
1759433070.753,2750,9594,3.9935796284223706,585.7699765724294,601.0103427221566,44841218.43760972,44831625
1759433072.806,2800,9694,3.9444720077265423,584.8622500298465,599.1386800156542,44854818.16955338,44845125
1759433074.847,2850,9794,3.9131092047818488,583.1765028050125,600.9375470190257,44864911.56861686,44855118
1759433076.880,2900,9894,3.8869578342861306,585.818361280675,600.6813498096844,44921507.13074919,44911614
1759433078.955,2950,9994,3.842557337799383,579.4892524239875,601.7641777773193,44683623.54184043,44673630
1759433081.001,3000,10094,3.810031288260668,580.7703177236817,601.1789978354436,44581932.191792764,44571839
1759433083.059,3050,10194,3.7842200694321413,584.3856608001345,598.9102281737148,44690641.25546677,44680448
1759433085.132,3100,10294,3.7381906140966032,583.022319578709,599.1868681493172,44696890.46342027,44686597
1759433087.184,3150,10394,3.7078812373315877,584.4019790231906,596.913105915987,44610734.87225605,44600341
1759433089.226,3200,10494,3.6604501956291866,584.4726844398251,596.424775832761,44498345.94605576,44487852
1759433091.277,3250,10594,3.6325976198494505,583.9503158245236,596.1798632107657,44456461.13310379,44445868
1759433093.323,3300,10694,3.6137451571135264,585.1786906045285,595.484359589742,44539302.472259544,44528609
1759433095.382,3350,10794,3.570046459967494,585.6697482854147,594.9603997010665,44525985.63594486,44515192
1759433097.427,3400,10894,3.529717716633621,585.2905201602493,594.2531060203333,44448872.84050454,44437979
