time,iter,used,max_ci,vp_mean,vm_mean,T_global,extra_global
1759828224.122,50000,108190,0.7610130026299153,403.92826891296244,397.6359999972166,29883043.645355873,29774854
1759838997.822,100000,208189,0.5403246381832723,407.4158085980178,403.5389768658807,30057563.028066512,29849375
1759849766.801,150000,308187,0.4386371339418562,406.9261576812013,405.4820213953461,30033960.395365667,29725774
1759860531.685,200000,408186,0.3802192802357395,404.7963167497346,404.6118994317471,29989640.418734606,29581455
1759871283.166,250000,508183,0.3401045229327786,404.20462648604064,404.7487067146235,30076442.384575184,29568260
1759882069.307,300000,608181,0.3101877595625372,403.97374038027874,405.6576929527706,30086778.2425123,29478598
1759892856.313,350000,708179,0.2866107682427945,403.1940771129523,404.82644799947997,29963511.917331576,29255333
1759903644.161,400000,808178,0.268309978549005,402.96471922698333,404.94420578277675,29968589.326237783,29160412
1759914443.165,450000,908178,0.252947400348691,402.63976788879313,405.7187925880303,29986927.458946023,29078750
1759925241.223,500000,1008175,0.23993288976875007,402.8385687361733,405.66043770272853,30009414.204032205,29001240
1759936036.524,550000,1108175,0.22863889449322508,402.36363967665386,405.69693235084947,29964423.62394056,28856249
