seed,layer,task,neuron_idx,shapley_value
95,features.4,cls,8,0.6590846153846158
95,features.4,cls,9,0.7628175824175848
95,features.4,cls,10,0.23294725274725286
95,features.4,cls,11,0.9935659340659313
95,features.4,cls,12,0.2597659340659342
95,features.4,cls,13,0.10157582417582417
95,features.4,cls,14,0.04849010989010987
95,features.4,cls,15,0.41139010989010966
95,features.4,cls,16,0.023565934065934047
95,features.4,cls,17,0.12228131868131831
95,features.4,cls,18,0.23347252747252786
95,features.4,cls,19,0.8924835164835181
95,features.4,cls,20,0.7665747252747257
95,features.4,cls,21,0.7352087912087925
95,features.4,cls,22,-0.03408021978021974
95,features.4,cls,23,0.5633384615384626
95,features.4,cls,24,0.16857142857142915
95,features.4,cls,25,0.37842417582417587
95,features.4,cls,26,0.21706813186813206
95,features.4,cls,27,0.6901615384615375
95,features.4,cls,28,0.13076813186813177
95,features.4,cls,29,0.34017472527472625
95,features.4,cls,30,0.3865010989010988
95,features.4,cls,31,0.9683934065934071
95,features.4,cls,32,0.6158967032967043
95,features.4,cls,33,0.5942208791208795
95,features.4,cls,34,0.002719780219780173
95,features.4,cls,35,0.23745934065934096
95,features.4,cls,36,0.6081296703296712
95,features.4,cls,37,0.26317802197802176
95,features.4,cls,38,1.1975450549450535
95,features.4,cls,39,0.7483065934065913
95,features.4,cls,40,0.23750659340659375
95,features.4,cls,41,0.5006362637362629
95,features.4,cls,42,0.007236263736263766
95,features.4,cls,43,0.18684615384615424
95,features.4,cls,44,0.049330769230769275
95,features.4,cls,45,0.07017472527472533
95,features.4,cls,46,0.7550087912087932
95,features.4,cls,47,0.011269230769230818
95,features.4,cls,48,0.284621978021978
95,features.4,cls,49,0.0002472527472526082
95,features.4,cls,50,0.39958681318681283
95,features.4,cls,51,0.35783626373626404
95,features.4,cls,52,0.3095406593406598
95,features.4,cls,53,0.33076373626373745
95,features.4,cls,54,0.5239846153846155
95,features.4,cls,55,1.2047758241758197
95,features.4,cls,56,0.3184351648351653
95,features.4,cls,57,0.16433736263736323
95,features.4,cls,58,1.1162747252747274
95,features.4,cls,59,0.4207846153846159
95,features.4,cls,60,0.7499538461538438
95,features.4,cls,61,0.05281978021978034
95,features.4,cls,62,0.3556208791208781
95,features.4,cls,63,0.06919450549450543
95,features.7,cls,0,-0.011734625322997409
95,features.7,cls,1,0.0037237726098191468
95,features.7,cls,2,-0.008510335917312649
